Segment,Distance,OSM_Feature,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Charge_at_Begining,Charge_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Charge_Consumed,Geometry
61,686.4409284567532,51067013,35.03208541870117,-85.29642486572266,35.026405334472656,-85.29940795898438,1572599311000.0,1572599391000.0,2019-11-01 04:08:31:000,2019-11-01 04:09:51:000,94.18033954732508,93.93761979423869,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2427197530863907,"LINESTRING (-85.2993429 35.0264316, -85.2982215 35.0284969, -85.29727130000001 35.0302243, -85.2967999 35.0310419, -85.2963386 35.0319575, -85.2960908 35.0323749, -85.2955518 35.0334354, -85.2953005 35.0339772, -85.2943872 35.0356956)"
63,198.22390914358039,19509304,35.026336669921875,-85.29942321777344,35.024829864501946,-85.29825592041016,1572599392000.0,1572599426000.0,2019-11-01 04:09:52:000,2019-11-01 04:10:26:000,93.92544937242798,93.8790473765432,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.046401995884778564,"LINESTRING (-85.299339 35.0262993, -85.2986602 35.0253381, -85.29849539999999 35.0251042, -85.2980932 35.0246279)"
65,0.4232064416867629,111039507,35.024829864501946,-85.29825592041016,35.02483367919922,-85.29825592041016,1572599427000.0,1572599437000.0,2019-11-01 04:10:27:000,2019-11-01 04:10:37:000,93.87747682098764,93.83361248971194,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043864331275699435,"LINESTRING (-85.2980932 35.0246279, -85.29878189999999 35.0247271, -85.2994726 35.0248265, -85.2996694 35.0248546, -85.2997592 35.0248726, -85.29997969999999 35.0249166, -85.300381 35.025012, -85.30079310000001 35.0251516, -85.3011214 35.0252916)"
67,0.0,19509304,35.024810791015625,-85.2982406616211,35.024810791015625,-85.2982406616211,1572599438000.0,1572599438000.0,2019-11-01 04:10:38:000,2019-11-01 04:10:38:000,93.81871545267492,93.81871545267492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"LINESTRING (-85.299339 35.0262993, -85.2986602 35.0253381, -85.29849539999999 35.0251042, -85.2980932 35.0246279)"
69,0.0,111039507,35.024776458740234,-85.29821014404297,35.024776458740234,-85.29821014404297,1572599439000.0,1572599439000.0,2019-11-01 04:10:39:000,2019-11-01 04:10:39:000,93.80476252057613,93.80476252057613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"LINESTRING (-85.2980932 35.0246279, -85.29878189999999 35.0247271, -85.2994726 35.0248265, -85.2996694 35.0248546, -85.2997592 35.0248726, -85.29997969999999 35.0249166, -85.300381 35.025012, -85.30079310000001 35.0251516, -85.3011214 35.0252916)"
71,0.0,19509304,35.024730682373054,-85.29817199707031,35.024730682373054,-85.29817199707031,1572599440000.0,1572599440000.0,2019-11-01 04:10:40:000,2019-11-01 04:10:40:000,93.78946278806585,93.78946278806585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"LINESTRING (-85.299339 35.0262993, -85.2986602 35.0253381, -85.29849539999999 35.0251042, -85.2980932 35.0246279)"
73,17.247825043229113,111039507,35.02468490600586,-85.29812622070312,35.02457809448242,-85.29798889160156,1572599441000.0,1572599443000.0,2019-11-01 04:10:41:000,2019-11-01 04:10:43:000,93.7751052983539,93.74953100823043,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02557429012347256,"LINESTRING (-85.2980932 35.0246279, -85.29878189999999 35.0247271, -85.2994726 35.0248265, -85.2996694 35.0248546, -85.2997592 35.0248726, -85.29997969999999 35.0249166, -85.300381 35.025012, -85.30079310000001 35.0251516, -85.3011214 35.0252916)"
75,98.96345339440019,37965334,35.02452850341797,-85.29790496826172,35.02412796020508,-85.29693603515625,1572599444000.0,1572599452000.0,2019-11-01 04:10:44:000,2019-11-01 04:10:52:000,93.73819653292179,93.67101634773664,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06718018518515123,"LINESTRING (-85.2967092 35.024092, -85.2978038 35.0245693, -85.29790269999999 35.0245921, -85.2980932 35.0246279)"
77,996.5947746762073,51065734,35.02407455444336,-85.29679870605469,35.020469665527344,-85.28679656982422,1572599453000.0,1572599522000.0,2019-11-01 04:10:53:000,2019-11-01 04:12:02:000,93.66772008230451,93.36100988683128,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3067101954732294,"LINESTRING (-85.2967092 35.024092, -85.29480239999999 35.0233934, -85.293657 35.022974, -85.292449 35.0225159, -85.2917582 35.0222539, -85.2907287 35.0218831, -85.2897135 35.0215259, -85.28871030000001 35.0211786, -85.2882662 35.0210183, -85.2881479 35.0209756, -85.2873757 35.020708, -85.28721849999999 35.0206536, -85.2867194 35.0204913)"
79,270.9662583811526,139746608,35.02042007446289,-85.28665161132812,35.01946258544922,-85.28392028808594,1572599523000.0,1572599542000.0,2019-11-01 04:12:03:000,2019-11-01 04:12:22:000,93.35440402263374,93.26596986625515,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08843415637859664,"LINESTRING (-85.2867194 35.0204913, -85.28621440000001 35.0203239, -85.2854232 35.0200255, -85.28532869999999 35.0199924, -85.284577 35.0197293, -85.2837401 35.0194343)"
