Sample,OSM_Feature,Distance,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Energy_at_Begining,Energy_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Energy_Consumed
61,51067013,692.9746807394628,35.03208541870117,-85.29642486572266,35.026405334472656,-85.29940795898438,1572599311000.0,1572599391000.0,2019-11-01 04:08:31:000,2019-11-01 04:09:51:000,94.18033954732508,93.93761979423869,80,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.2427197530863907
62,19509304,7.7439448303019605,35.026405334472656,-85.29940795898438,35.026336669921875,-85.29942321777344,1572599391000.0,1572599392000.0,2019-11-01 04:09:51:000,2019-11-01 04:09:52:000,93.93761979423869,93.92544937242798,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.012170421810708376
63,19509304,198.31048874337884,35.026336669921875,-85.29942321777344,35.024829864501946,-85.29825592041016,1572599392000.0,1572599426000.0,2019-11-01 04:09:52:000,2019-11-01 04:10:26:000,93.92544937242798,93.8790473765432,34,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.046401995884778564
64,111039507,0.0,35.024829864501946,-85.29825592041016,35.024829864501946,-85.29825592041016,1572599426000.0,1572599427000.0,2019-11-01 04:10:26:000,2019-11-01 04:10:27:000,93.8790473765432,93.87747682098764,1,0.5,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0015705555555598494
65,111039507,0.4232064416867629,35.024829864501946,-85.29825592041016,35.02483367919922,-85.29825592041016,1572599427000.0,1572599437000.0,2019-11-01 04:10:27:000,2019-11-01 04:10:37:000,93.87747682098764,93.83361248971194,10,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.043864331275699435
66,111039507,20.31056370809296,35.02483367919922,-85.29825592041016,35.02468490600586,-85.29812622070312,1572599437000.0,1572599441000.0,2019-11-01 04:10:37:000,2019-11-01 04:10:41:000,93.83361248971194,93.7751052983539,4,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.05850719135803217
73,111039507,17.247825043229113,35.02468490600586,-85.29812622070312,35.02457809448242,-85.29798889160156,1572599441000.0,1572599443000.0,2019-11-01 04:10:41:000,2019-11-01 04:10:43:000,93.7751052983539,93.74953100823043,2,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.025574290123472558
74,37965334,9.43014101065956,35.02457809448242,-85.29798889160156,35.02452850341797,-85.29790496826172,1572599443000.0,1572599444000.0,2019-11-01 04:10:43:000,2019-11-01 04:10:44:000,93.74953100823043,93.73819653292179,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.01133447530864373
75,37965334,103.3893578493177,35.02452850341797,-85.29790496826172,35.02412796020508,-85.29693603515625,1572599444000.0,1572599452000.0,2019-11-01 04:10:44:000,2019-11-01 04:10:52:000,93.73819653292179,93.67101634773664,8,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.06718018518515123
76,51065734,13.862774872747435,35.02412796020508,-85.29693603515625,35.02407455444336,-85.29679870605469,1572599452000.0,1572599453000.0,2019-11-01 04:10:52:000,2019-11-01 04:10:53:000,93.67101634773664,93.66772008230451,1,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0032962654321266878
